,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance_bin
2247,6,61,0,5,5,46,4
2248,4,95,1,9,5,78,8
2249,7,82,0,5,9,74,8
2250,7,86,0,9,8,78,8
2251,2,52,1,8,1,27,2
2252,3,95,1,4,9,74,8
2253,1,41,1,8,8,15,1
2254,8,53,0,8,2,46,4
2255,9,95,0,4,2,90,9
2256,4,77,1,6,2,58,6
2257,6,80,1,6,0,65,7
2258,9,67,0,7,9,65,7
2259,6,46,1,6,6,36,3
2260,9,57,1,5,9,52,5
2261,4,95,0,9,6,79,8
2262,8,80,1,8,1,74,8
2263,9,94,1,7,5,93,10
2264,4,75,1,8,3,57,6
2265,5,80,1,4,6,65,7
2266,8,75,0,6,6,69,7
2267,6,83,0,4,3,71,7
2268,7,43,0,7,2,31,3
2269,3,96,0,9,6,78,8
2270,7,69,1,5,8,60,6
2271,8,63,1,6,3,58,6
2272,6,59,1,4,5,46,4
2273,9,85,1,9,6,87,9
2274,6,95,0,6,9,81,8
2275,9,70,1,8,2,69,7
2276,4,63,1,5,4,46,4
2277,8,46,0,9,0,41,4
2278,4,65,0,6,5,50,5
2279,2,52,0,5,4,24,2
2280,9,93,1,9,6,97,10
2281,5,47,0,8,8,35,3
2282,4,94,1,8,3,82,8
2283,2,44,1,4,8,24,2
2284,1,83,0,7,5,59,6
2285,7,52,0,4,4,42,4
2286,6,68,0,5,1,56,6
2287,2,59,1,4,0,30,3
2288,8,53,1,9,7,49,5
2289,4,71,1,6,5,56,6
2290,8,99,0,9,6,98,10
2291,7,89,1,4,5,79,8
2292,5,66,1,7,9,54,5
2293,8,95,1,9,6,93,10
2294,9,64,1,9,8,63,6
2295,5,91,0,9,4,76,8
2296,5,43,1,7,0,27,2
2297,2,60,0,9,0,35,3
2298,5,57,0,5,8,39,4
2299,3,78,1,8,4,59,6
2300,7,54,1,7,1,50,5
2301,5,92,0,5,2,77,8
2302,8,77,1,7,0,70,7
2303,1,87,0,7,5,62,6
2304,3,91,1,8,5,71,7
2305,3,63,1,6,2,39,4
2306,9,47,0,5,2,41,4
2307,5,67,1,7,6,51,5
2308,9,60,0,7,0,52,5
2309,9,55,0,4,4,49,5
2310,1,99,1,9,2,76,8
2311,2,93,0,6,4,71,7
2312,5,55,1,8,3,42,4
2313,4,74,1,5,5,60,6
2314,9,56,1,7,8,53,5
2315,7,48,0,9,1,40,4
2316,6,96,1,5,9,85,9
2317,7,74,1,8,7,70,7
2318,1,91,0,6,1,63,6
2319,1,68,0,4,3,42,4
2320,8,78,0,6,8,73,7
2321,2,57,0,4,3,35,3
2322,9,51,1,5,6,48,5
2323,7,58,1,6,4,49,5
2324,6,87,1,6,1,75,8
2325,1,61,1,6,7,35,3
2326,1,98,0,8,9,70,7
2327,2,95,0,5,9,71,7
2328,6,88,1,4,1,74,8
2329,6,91,0,6,2,77,8
2330,2,54,0,5,9,30,3
2331,1,40,0,9,6,13,1
2332,5,47,0,8,9,35,3
2333,2,61,1,9,2,40,4
2334,6,64,1,5,1,55,5
2335,9,41,0,4,5,37,3
2336,2,90,0,5,9,64,6
2337,2,48,1,5,0,23,2
2338,3,48,1,7,7,27,2
2339,7,52,0,8,4,42,4
2340,6,45,0,4,4,34,3
2341,8,69,0,7,1,63,6
2342,8,54,1,9,6,50,5
2343,6,90,0,5,4,75,8
2344,3,92,0,9,7,74,8
2345,3,54,0,8,4,39,4
2346,1,89,0,7,8,63,6
2347,7,46,0,7,4,36,3
2348,5,97,0,4,2,84,9
2349,4,50,0,5,1,30,3
2350,4,79,0,4,4,60,6
2351,4,77,1,7,9,61,6
2352,6,79,1,7,9,70,7
2353,8,41,1,4,4,32,3
2354,8,90,0,7,5,87,9
2355,5,87,1,6,1,72,7
2356,6,78,1,8,4,68,7
2357,4,49,1,5,0,29,3
2358,9,83,1,8,2,78,8
2359,8,56,1,5,2,45,4
2360,1,46,0,7,2,20,2
2361,2,93,1,4,2,66,7
2362,9,79,0,4,7,77,8
2363,8,78,0,7,0,72,7
2364,3,43,1,5,5,26,2
2365,8,74,0,7,5,67,7
2366,1,90,1,5,0,67,7
2367,4,86,0,7,0,68,7
2368,3,75,0,7,2,56,6
2369,6,70,1,7,7,61,6
2370,7,64,0,4,5,50,5
2371,4,80,0,5,3,68,7
2372,7,52,0,9,4,47,5
2373,9,57,0,7,9,56,6
2374,2,60,0,8,2,40,4
2375,3,87,0,8,5,68,7
2376,5,40,0,4,5,26,2
2377,3,75,0,6,5,55,5
2378,8,89,1,9,8,84,9
2379,8,47,0,4,9,40,4
2380,8,91,1,6,7,85,9
2381,9,87,1,4,5,85,9
2382,4,60,0,8,1,40,4
2383,5,82,0,7,3,68,7
2384,5,91,1,5,5,74,8
2385,8,92,1,7,8,90,9
2386,7,92,1,8,1,82,8
2387,9,60,0,5,5,57,6
2388,8,66,0,6,9,61,6
2389,2,58,0,6,9,38,4
2390,4,62,1,8,9,46,4
2391,6,90,0,5,6,80,8
2392,2,89,0,7,7,67,7
2393,7,90,0,8,8,84,9
2394,3,82,0,6,4,58,6
2395,3,74,1,8,8,55,5
2396,2,79,0,7,8,57,6
2397,8,91,0,4,6,87,9
2398,6,90,1,9,1,80,8
2399,1,81,0,9,7,54,5
2400,1,87,1,9,4,64,6
2401,7,44,1,4,7,33,3
2402,8,91,0,7,1,83,9
2403,5,80,1,5,6,66,7
2404,5,47,0,8,4,33,3
2405,4,50,1,7,3,31,3
2406,6,55,1,4,9,40,4
2407,6,78,0,6,5,66,7
2408,3,86,1,9,4,67,7
2409,9,63,0,9,5,64,6
2410,7,60,0,7,8,52,5
2411,1,91,0,9,0,68,7
2412,7,62,0,9,0,58,6
2413,5,88,1,7,5,72,7
2414,5,77,0,7,1,65,7
2415,2,86,1,4,7,65,7
2416,4,47,0,4,6,24,2
2417,6,46,1,9,5,35,3
2418,7,41,1,7,3,34,3
2419,5,69,1,7,8,57,6
2420,9,52,1,9,6,54,5
2421,3,62,0,5,6,42,4
2422,1,68,0,6,4,39,4
2423,4,77,1,8,0,62,6
2424,9,76,1,8,1,71,7
2425,4,59,0,9,7,42,4
2426,2,72,1,8,4,52,5
2427,5,68,1,4,1,54,5
2428,3,89,0,4,4,68,7
2429,9,54,1,5,7,50,5
2430,4,62,1,9,3,46,4
2431,6,81,0,4,2,68,7
2432,2,42,1,9,4,19,1
2433,6,76,0,9,6,68,7
2434,3,95,0,7,1,74,8
2435,9,68,0,6,0,63,6
2436,2,84,0,6,4,60,6
2437,9,47,1,9,6,47,5
2438,5,61,0,6,7,47,5
2439,8,92,0,6,7,87,9
2440,2,68,1,8,9,45,4
2441,6,41,0,8,8,31,3
2442,3,80,1,7,0,61,6
2443,5,88,0,5,6,73,7
2444,8,98,0,4,9,92,10
2445,1,89,0,4,7,65,7
2446,5,84,0,8,5,69,7
2447,3,40,1,9,9,20,2
2448,4,83,1,6,3,66,7
2449,2,59,1,7,6,38,4
2450,9,91,0,5,2,81,8
2451,3,60,0,8,1,39,4
2452,2,76,0,9,5,53,5
2453,9,47,1,7,1,44,4
2454,7,66,0,9,5,58,6
2455,6,86,1,7,9,79,8
2456,1,98,1,8,2,75,8
2457,5,74,1,7,1,59,6
2458,3,45,0,6,7,23,2
2459,4,84,0,5,3,65,7
2460,2,83,0,7,6,60,6
2461,2,58,1,4,7,32,3
2462,3,57,1,7,8,38,4
2463,8,95,0,9,9,91,9
2464,8,40,0,8,7,34,3
2465,7,64,0,4,3,46,4
2466,6,66,1,8,1,55,5
2467,9,46,0,9,9,43,4
2468,4,83,1,5,4,67,7
2469,1,81,1,6,6,56,6
2470,8,68,1,5,1,58,6
2471,7,70,1,4,3,60,6
2472,7,83,1,9,5,77,8
2473,3,82,1,9,7,69,7
2474,4,75,1,6,9,60,6
2475,9,58,0,7,5,52,5
2476,6,45,0,4,5,36,3
2477,5,64,0,6,5,49,5
2478,3,70,1,8,3,50,5
2479,9,48,1,6,2,48,5
2480,5,59,0,8,0,43,4
2481,5,49,1,8,1,34,3
2482,4,76,1,9,1,57,6
2483,4,66,1,6,9,50,5
2484,1,52,1,9,6,28,2
2485,7,80,1,9,5,72,7
2486,9,41,1,5,7,38,4
2487,3,89,1,5,8,68,7
2488,2,60,1,9,4,41,4
2489,3,72,1,9,2,53,5
2490,1,63,1,8,3,36,3
2491,6,92,1,9,7,80,8
2492,7,83,1,4,2,73,7
2493,8,73,1,4,6,67,7
2494,6,99,1,5,3,91,9
2495,4,48,0,4,7,34,3
2496,5,41,0,7,0,23,2
2497,8,94,0,7,7,86,9
2498,3,95,1,5,4,73,7
2499,3,69,1,4,1,49,5
2500,4,61,0,6,0,43,4
2501,1,85,0,5,5,61,6
2502,9,50,0,7,8,45,4
2503,8,94,1,5,8,85,9
2504,8,82,1,4,8,75,8
2505,6,56,0,4,3,44,4
2506,7,75,1,4,5,66,7
2507,6,52,1,8,9,45,4
2508,9,46,0,4,5,40,4
2509,3,55,0,9,4,38,4
2510,3,72,0,7,1,50,5
2511,3,84,1,7,6,67,7
2512,3,40,1,8,0,21,2
2513,9,50,1,7,5,51,5
2514,4,45,1,7,4,25,2
2515,7,59,1,5,4,53,5
2516,9,74,0,4,7,71,7
2517,7,83,1,9,8,77,8
2518,9,76,1,9,6,75,8
2519,3,80,0,5,9,60,6
2520,4,65,0,9,7,49,5
2521,8,97,0,5,1,87,9
2522,6,51,0,9,1,40,4
2523,5,69,1,7,7,56,6
2524,4,67,1,6,5,49,5
2525,8,66,0,4,7,59,6
2526,1,81,1,6,8,59,6
2527,9,58,0,7,8,54,5
2528,1,44,1,8,5,17,1
2529,8,97,1,5,7,90,9
2530,4,44,1,9,1,23,2
2531,9,80,0,9,7,82,8
2532,5,66,0,7,2,49,5
2533,3,67,1,9,0,50,5
2534,9,65,1,7,6,60,6
2535,9,66,0,6,0,60,6
2536,4,91,0,8,0,74,8
2537,4,88,1,5,0,71,7
2538,8,81,1,9,3,77,8
2539,2,60,0,8,3,34,3
2540,9,40,1,8,9,39,4
2541,6,93,0,8,5,85,9
2542,9,67,0,4,9,64,6
2543,8,87,1,8,2,87,9
2544,7,97,1,7,9,91,9
2545,1,97,1,4,5,73,7
2546,3,54,0,4,6,34,3
2547,2,94,0,8,0,70,7
2548,5,56,0,9,5,42,4
2549,5,65,1,9,9,55,5
2550,5,59,1,9,0,45,4
2551,4,64,0,9,6,49,5
2552,5,52,0,7,9,37,3
2553,3,72,1,9,4,55,5
2554,1,64,0,5,9,38,4
2555,5,47,1,8,3,35,3
2556,9,44,1,4,0,41,4
2557,9,45,0,5,8,43,4
2558,4,62,0,9,6,46,4
2559,3,91,0,5,1,69,7
2560,1,69,0,4,3,37,3
2561,2,53,0,9,3,31,3
2562,8,93,1,5,7,90,9
2563,1,62,0,7,1,33,3
2564,8,50,1,7,4,44,4
2565,7,70,0,8,9,62,6
2566,8,45,0,8,7,41,4
2567,9,52,0,4,3,45,4
2568,3,51,0,7,4,34,3
2569,4,93,0,6,1,72,7
2570,6,41,1,8,4,29,3
2571,8,92,0,7,2,83,9
2572,5,74,0,9,2,61,6
2573,3,94,0,5,6,75,8
2574,6,75,0,7,2,63,6
2575,4,56,1,7,3,36,3
2576,9,67,1,5,6,62,6
2577,3,67,1,8,2,49,5
2578,4,61,1,8,9,46,4
2579,7,77,1,6,9,69,7
2580,7,46,1,6,1,35,3
2581,4,54,0,8,9,38,4
2582,6,71,0,8,6,62,6
2583,3,50,1,8,4,30,3
2584,6,63,0,8,0,52,5
2585,2,42,0,7,9,16,1
2586,8,69,0,6,7,66,7
2587,2,45,0,5,2,20,2
2588,7,97,0,4,6,86,9
2589,9,41,1,5,5,38,4
2590,1,53,1,9,9,30,3
2591,8,80,1,4,5,71,7
2592,7,57,1,7,7,49,5
2593,6,90,1,9,3,79,8
2594,6,83,1,6,3,69,7
2595,6,70,0,4,2,56,6
2596,9,52,1,8,0,47,5
2597,2,65,0,9,9,41,4
2598,1,83,0,7,2,58,6
2599,6,51,1,4,0,38,4
2600,8,57,1,8,5,52,5
2601,3,48,1,9,7,25,2
2602,1,88,0,7,2,62,6
2603,9,60,1,9,3,60,6
2604,1,87,1,4,4,63,6
2605,3,88,1,8,6,72,7
2606,8,92,0,6,5,84,9
2607,3,95,1,7,1,74,8
2608,4,79,1,4,6,61,6
2609,8,82,0,8,7,77,8
2610,1,63,0,6,0,36,3
2611,6,73,0,9,5,65,7
2612,1,47,1,8,8,23,2
2613,1,83,1,6,6,60,6
2614,8,92,0,4,4,83,9
2615,4,72,1,8,9,56,6
2616,1,62,0,8,9,37,3
2617,7,52,0,5,8,43,4
2618,5,93,0,7,1,76,8
2619,5,92,0,8,6,83,9
2620,1,88,0,6,8,63,6
2621,6,53,1,7,1,39,4
2622,9,53,1,4,9,48,5
2623,9,55,1,7,5,53,5
2624,8,88,1,5,8,84,9
2625,5,77,0,4,2,63,6
2626,1,97,1,8,7,73,7
2627,9,99,0,9,4,99,10
2628,1,78,0,4,6,52,5
2629,8,65,1,4,2,58,6
2630,5,65,1,5,7,50,5
2631,3,40,0,6,1,18,1
2632,7,71,1,4,7,62,6
2633,7,96,1,6,1,87,9
2634,9,54,1,7,6,53,5
2635,7,91,1,9,1,87,9
2636,3,60,0,5,6,37,3
2637,1,57,0,8,0,31,3
2638,8,69,1,4,5,63,6
2639,3,99,0,9,9,81,8
2640,8,97,0,9,6,95,10
2641,8,52,1,6,3,45,4
2642,5,63,1,4,0,48,5
2643,1,69,0,9,5,47,5
2644,7,41,0,5,3,31,3
2645,5,58,0,8,2,43,4
2646,8,86,1,7,3,82,8
2647,9,83,0,7,5,80,8
2648,7,86,0,6,4,76,8
2649,7,64,1,9,1,57,6
2650,1,89,0,7,1,64,6
2651,4,53,1,6,2,35,3
2652,2,45,1,8,5,24,2
2653,2,51,0,4,0,30,3
2654,2,59,1,5,6,38,4
2655,4,62,1,8,7,45,4
2656,1,69,0,8,6,44,4
2657,4,69,1,7,2,53,5
2658,2,77,0,7,5,53,5
2659,5,97,1,5,3,84,9
2660,3,69,1,4,4,47,5
2661,8,80,0,8,2,76,8
2662,4,69,0,9,4,57,6
2663,1,96,0,7,5,71,7
2664,1,97,1,8,7,74,8
2665,3,75,0,4,5,54,5
2666,9,88,1,6,8,84,9
2667,7,73,0,4,9,62,6
2668,2,55,1,8,9,35,3
2669,9,63,0,8,9,62,6
2670,2,53,1,5,9,30,3
2671,3,65,0,8,3,47,5
2672,2,47,1,7,1,25,2
2673,3,53,1,9,8,40,4
2674,6,70,1,5,2,56,6
2675,9,41,1,8,6,38,4
2676,9,87,0,4,3,86,9
2677,7,43,1,8,0,38,4
2678,3,40,0,4,7,17,1
2679,4,94,1,4,3,75,8
2680,6,59,0,8,5,48,5
2681,5,98,1,4,6,87,9
2682,2,53,1,9,7,32,3
2683,6,79,0,6,9,68,7
2684,3,64,0,5,1,42,4
2685,8,99,1,8,8,96,10
2686,2,64,0,6,9,42,4
2687,1,42,0,4,2,18,1
2688,9,44,0,4,0,41,4
2689,3,77,1,5,1,54,5
2690,1,93,0,6,7,67,7
2691,7,65,1,6,9,57,6
2692,5,79,0,8,5,65,7
2693,5,77,0,4,0,62,6
2694,1,77,1,7,8,56,6
2695,9,43,0,8,6,39,4
2696,7,46,0,8,9,38,4
2697,8,69,0,8,2,65,7
2698,9,69,0,5,6,68,7
2699,6,95,0,5,5,82,8
2700,5,58,0,8,2,44,4
2701,6,78,0,9,7,67,7
2702,2,74,1,7,0,53,5
2703,4,79,1,6,4,61,6
2704,3,72,1,6,7,53,5
2705,7,72,1,4,2,61,6
2706,9,53,1,6,9,49,5
2707,5,77,0,6,5,61,6
2708,6,49,1,7,9,38,4
2709,2,96,1,6,1,76,8
2710,3,67,0,7,8,47,5
2711,3,53,1,5,1,32,3
2712,9,75,0,7,4,71,7
2713,7,77,0,5,2,69,7
2714,8,55,1,7,9,53,5
2715,9,99,1,8,8,100,10
2716,6,60,0,9,8,49,5
2717,4,67,0,5,6,48,5
2718,1,72,1,5,9,45,4
2719,8,45,0,6,4,40,4
2720,7,80,1,5,8,71,7
2721,2,54,1,7,6,34,3
2722,8,83,1,8,1,76,8
2723,5,42,1,8,9,29,3
2724,7,82,0,6,0,71,7
2725,4,86,0,7,9,69,7
2726,5,74,1,7,9,58,6
2727,8,53,1,4,3,43,4
2728,1,41,0,5,9,17,1
2729,1,68,0,6,7,41,4
2730,4,43,0,8,5,27,2
2731,3,65,0,9,1,45,4
2732,2,90,0,4,4,65,7
2733,3,51,1,7,8,31,3
2734,1,41,1,5,5,14,1
2735,1,56,1,8,5,33,3
2736,6,74,1,4,6,60,6
2737,5,49,0,7,4,34,3
2738,8,87,0,8,2,82,8
2739,2,61,1,8,2,40,4
2740,4,80,1,7,4,66,7
2741,8,82,0,7,3,76,8
2742,6,60,1,6,4,46,4
2743,1,54,1,8,8,31,3
2744,4,74,0,7,4,57,6
2745,1,87,0,9,3,65,7
2746,2,60,0,9,3,38,4
2747,5,60,1,4,0,46,4
2748,8,60,0,5,9,53,5
2749,8,99,0,9,3,97,10
2750,3,83,1,6,3,63,6
2751,4,71,0,7,8,55,5
2752,6,94,1,5,3,79,8
2753,3,44,1,6,6,26,2
2754,2,78,1,8,0,55,5
2755,6,48,1,5,6,37,3
2756,5,92,0,9,1,78,8
2757,5,57,1,6,7,45,4
2758,5,60,0,7,0,45,4
2759,5,47,0,7,9,34,3
2760,3,83,0,6,2,66,7
2761,7,91,0,8,7,79,8
2762,6,73,0,9,9,63,6
2763,4,49,1,6,7,32,3
2764,2,90,0,4,4,64,6
2765,9,80,1,6,4,78,8
2766,1,96,1,6,7,69,7
2767,4,63,1,9,9,46,4
2768,1,79,0,7,4,54,5
2769,6,63,0,8,8,51,5
2770,4,95,0,6,0,78,8
2771,5,71,0,5,4,54,5
2772,5,95,1,7,2,80,8
2773,9,72,0,7,2,67,7
2774,1,77,0,6,1,48,5
2775,2,83,1,9,2,61,6
2776,6,96,1,5,6,83,9
2777,5,95,1,6,7,82,8
2778,7,90,1,5,7,78,8
2779,3,98,1,7,7,78,8
2780,3,88,1,5,0,70,7
2781,2,73,1,6,6,48,5
2782,3,50,0,4,1,26,2
2783,1,70,0,4,9,46,4
2784,5,57,1,5,3,42,4
2785,5,62,1,9,4,46,4
2786,7,99,0,6,0,91,9
2787,4,61,1,8,3,47,5
2788,3,82,1,4,3,61,6
2789,1,57,1,7,8,31,3
2790,8,79,1,6,8,71,7
2791,3,86,1,6,9,66,7
2792,2,80,0,4,0,52,5
2793,4,86,1,8,7,71,7
2794,3,78,1,7,3,60,6
2795,1,59,1,8,3,32,3
2796,3,52,0,7,4,33,3
2797,2,84,0,4,1,56,6
2798,8,40,1,6,0,32,3
2799,6,91,1,7,4,76,8
2800,9,43,1,6,6,40,4
2801,8,63,1,5,9,60,6
2802,3,75,0,5,8,54,5
2803,5,75,0,4,1,59,6
2804,7,84,1,4,7,74,8
2805,8,67,0,4,1,61,6
2806,5,65,0,5,4,50,5
2807,1,62,1,7,6,36,3
2808,5,54,1,8,2,41,4
2809,4,75,1,4,1,60,6
2810,6,66,0,8,5,56,6
2811,3,45,0,8,9,23,2
2812,5,74,0,5,5,63,6
2813,2,78,0,9,3,54,5
2814,6,77,1,7,0,64,6
2815,6,74,0,5,4,64,6
2816,5,75,0,4,0,58,6
2817,6,49,0,5,7,38,4
2818,7,69,1,5,1,60,6
2819,5,92,0,5,8,79,8
2820,1,80,0,4,8,57,6
2821,8,77,0,4,2,69,7
2822,4,68,1,5,5,51,5
2823,9,91,0,5,8,86,9
2824,6,98,1,8,6,90,9
2825,1,82,1,7,3,57,6
2826,3,78,0,8,2,61,6
2827,3,89,1,9,1,71,7
2828,4,43,0,7,9,30,3
2829,6,44,1,9,9,34,3
2830,7,43,1,7,0,34,3
2831,4,75,0,5,9,58,6
2832,6,98,0,8,0,85,9
2833,1,84,1,7,3,55,5
2834,8,55,1,9,3,51,5
2835,7,64,1,7,8,53,5
2836,9,53,1,4,9,51,5
2837,3,50,0,7,0,31,3
2838,2,68,1,5,3,44,4
2839,1,73,1,6,2,48,5
2840,3,61,0,4,8,41,4
2841,5,53,1,6,4,40,4
2842,2,95,0,5,8,72,7
2843,3,63,0,6,9,41,4
2844,4,98,0,7,5,78,8
2845,7,78,1,6,8,70,7
2846,3,65,0,8,0,41,4
2847,9,82,0,5,3,78,8
2848,8,75,0,8,3,70,7
2849,4,78,1,6,9,61,6
2850,1,55,1,8,9,33,3
2851,1,97,1,4,5,71,7
2852,1,77,1,6,9,51,5
2853,1,98,0,9,0,72,7
2854,8,71,0,8,9,69,7
2855,3,45,0,7,4,21,2
2856,6,73,1,6,2,61,6
2857,3,95,0,9,0,76,8
2858,5,47,1,4,5,30,3
2859,7,69,1,7,2,59,6
2860,2,66,1,6,3,45,4
2861,6,46,0,7,8,39,4
2862,6,66,0,6,1,53,5
2863,3,64,1,6,0,43,4
2864,6,95,0,5,9,85,9
2865,5,85,1,8,5,70,7
2866,2,80,0,6,0,56,6
2867,9,54,1,4,0,52,5
2868,8,64,1,9,6,65,7
2869,3,61,1,8,1,39,4
2870,8,57,0,5,3,48,5
2871,9,51,0,8,3,47,5
2872,3,62,0,8,1,41,4
2873,3,90,0,6,5,72,7
2874,2,84,0,4,9,61,6
2875,8,78,1,6,1,74,8
2876,1,64,0,4,7,38,4
2877,8,49,1,4,3,42,4
2878,7,69,0,7,0,60,6
2879,7,49,0,6,6,35,3
2880,3,73,0,5,5,52,5
2881,1,85,1,9,5,61,6
2882,4,52,0,8,2,32,3
2883,9,93,1,7,9,95,10
2884,5,68,0,5,6,53,5
2885,1,77,1,9,5,54,5
2886,5,80,1,9,9,70,7
2887,8,84,1,6,9,78,8
2888,8,48,1,4,8,42,4
2889,5,52,0,6,2,33,3
2890,9,76,0,9,2,75,8
2891,1,53,1,6,3,26,2
2892,4,76,0,7,2,58,6
2893,3,48,1,5,3,29,3
2894,2,47,0,9,5,29,3
2895,8,78,0,7,0,70,7
2896,7,79,0,5,1,67,7
2897,9,93,1,7,9,93,10
2898,2,42,0,8,5,21,2
2899,4,94,1,4,5,74,8
2900,6,95,0,4,0,82,8
2901,3,86,1,4,5,65,7
2902,8,79,0,8,8,75,8
2903,3,72,1,9,7,55,5
2904,2,71,1,9,9,54,5
2905,3,46,1,8,4,26,2
2906,6,58,0,4,3,48,5
2907,2,73,1,4,5,49,5
2908,8,53,0,5,4,49,5
2909,1,89,1,5,5,64,6
2910,7,86,1,6,9,81,8
2911,2,85,1,7,2,64,6
2912,6,95,0,5,6,82,8
2913,2,96,0,5,7,74,8
2914,2,58,0,5,4,32,3
2915,8,90,0,5,4,83,9
2916,2,93,0,8,3,68,7
2917,7,98,0,6,9,90,9
2918,3,65,0,5,4,44,4
2919,8,56,1,9,9,51,5
2920,7,93,1,7,7,86,9
2921,8,67,0,5,4,62,6
2922,7,58,0,8,8,48,5
2923,6,66,0,9,0,56,6
2924,7,87,0,4,6,79,8
2925,5,91,0,4,4,74,8
2926,7,96,1,6,3,82,8
2927,1,58,0,4,2,32,3
2928,1,72,0,5,9,46,4
2929,9,90,0,8,6,88,9
2930,5,46,1,6,1,35,3
2931,5,68,1,9,4,56,6
2932,3,94,1,5,1,74,8
2933,5,82,1,4,6,67,7
2934,3,44,0,7,5,23,2
2935,9,69,1,5,9,67,7
2936,9,88,1,7,6,86,9
2937,6,82,1,9,8,70,7
2938,1,95,1,7,1,68,7
2939,7,97,1,9,8,91,9
2940,7,47,0,6,6,42,4
2941,4,81,1,8,1,62,6
2942,8,51,1,4,9,44,4
2943,6,81,1,4,1,67,7
2944,4,52,0,5,3,35,3
2945,4,65,0,4,1,46,4
2946,2,57,0,6,0,31,3
2947,2,81,0,4,5,59,6
2948,4,90,0,5,9,71,7
2949,8,88,0,8,2,80,8
2950,6,59,0,9,0,49,5
2951,4,55,1,7,8,39,4
2952,7,76,1,7,7,67,7
2953,8,42,0,9,5,38,4
2954,2,66,1,7,5,47,5
2955,7,54,0,8,3,41,4
2956,2,97,1,6,1,75,8
2957,2,73,1,5,3,53,5
2958,8,84,0,8,1,81,8
2959,2,61,1,5,6,37,3
2960,9,79,0,6,8,77,8
2961,1,62,0,8,1,36,3
2962,9,98,1,4,8,95,10
2963,1,88,0,6,8,65,7
2964,2,43,1,7,7,18,1
2965,6,90,1,8,0,80,8
2966,6,93,0,6,4,81,8
2967,1,96,0,6,9,73,7
2968,7,80,0,8,3,74,8
2969,8,62,0,7,6,57,6
2970,2,86,0,9,7,64,6
2971,8,99,1,7,9,97,10
2972,9,48,0,6,7,42,4
2973,6,63,1,5,1,48,5
2974,5,60,0,9,2,46,4
2975,9,80,1,9,9,79,8
2976,9,85,1,6,9,83,9
2977,1,94,1,8,6,70,7
2978,3,92,1,8,3,73,7
2979,9,55,1,8,5,56,6
2980,2,95,0,7,7,71,7
2981,4,94,1,4,7,76,8
2982,4,64,0,8,6,49,5
2983,2,65,1,8,1,43,4
2984,3,88,0,9,1,67,7
2985,3,84,1,5,2,63,6
2986,1,48,1,5,3,18,1
2987,6,54,0,6,0,43,4
2988,8,78,0,6,4,72,7
2989,3,72,1,6,6,57,6
2990,5,40,1,8,9,25,2
2991,1,44,0,5,4,15,1
2992,7,95,1,6,6,88,9
2993,1,48,1,5,4,24,2
2994,9,83,0,8,9,81,8
2995,8,45,1,9,7,40,4
2996,7,67,1,8,6,60,6
2997,7,84,0,6,0,73,7
2998,5,65,1,8,0,52,5
2999,5,67,0,8,4,53,5
3000,5,79,0,5,1,65,7
3001,1,54,1,4,8,30,3
3002,8,45,1,7,1,39,4
3003,1,66,0,6,8,43,4
3004,4,77,0,4,9,59,6
3005,9,43,1,9,1,38,4
3006,9,50,0,6,3,44,4
3007,5,60,1,4,2,44,4
3008,4,69,0,8,5,53,5
3009,3,57,0,6,3,37,3
3010,3,74,0,4,8,52,5
3011,5,42,1,7,8,30,3
3012,1,51,0,8,9,22,2
3013,5,66,0,6,8,51,5
3014,6,92,0,9,2,82,8
3015,7,69,0,9,2,63,6
3016,9,60,1,6,3,58,6
3017,3,77,0,4,8,58,6
3018,2,60,1,6,5,38,4
3019,3,99,0,8,8,80,8
3020,9,77,0,5,7,70,7
3021,7,79,1,9,6,72,7
3022,9,54,1,4,4,48,5
3023,2,57,0,7,8,36,3
3024,5,91,0,6,3,73,7
3025,4,68,0,8,3,51,5
3026,2,87,1,6,7,63,6
3027,9,77,0,7,3,74,8
3028,9,99,1,8,6,98,10
3029,6,60,0,7,3,45,4
3030,6,56,1,8,0,45,4
3031,8,80,1,5,9,74,8
3032,6,90,1,9,8,81,8
3033,1,57,0,8,3,30,3
3034,4,96,0,7,2,77,8
3035,7,94,1,4,2,86,9
3036,2,76,1,9,8,58,6
3037,9,99,1,5,7,99,10
3038,8,77,0,6,9,69,7
3039,8,51,0,5,6,47,5
3040,7,50,0,5,6,42,4
3041,4,87,1,6,3,73,7
3042,2,91,0,8,2,71,7
3043,3,88,0,5,3,68,7
3044,6,59,0,9,5,47,5
3045,5,48,1,5,3,31,3
3046,8,40,0,4,3,31,3
3047,6,97,0,9,1,86,9
3048,6,42,0,4,6,27,2
3049,1,60,0,9,5,32,3
3050,4,62,0,7,1,41,4
3051,5,48,1,6,4,33,3
3052,3,93,1,9,5,75,8
3053,9,58,1,9,4,57,6
3054,1,84,1,8,3,59,6
3055,6,94,0,8,8,87,9
3056,6,85,0,7,2,72,7
3057,5,91,1,8,1,78,8
3058,5,58,1,8,8,46,4
3059,5,62,1,4,7,47,5
3060,6,66,0,8,8,58,6
3061,8,66,0,8,9,63,6
3062,2,78,0,7,2,56,6
3063,6,75,1,7,0,62,6
3064,1,51,1,5,0,23,2
3065,4,94,1,8,2,73,7
3066,3,66,0,8,3,46,4
