Unnamed: 0,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance_bin,Language Spoken
2455,6,86,1,7,9,79,8,Nepali
2456,1,98,1,8,2,75,8,Tulu
2457,5,74,1,7,1,59,6,Bodo
2458,3,45,0,6,7,23,2,Sanskrit
2459,4,84,0,5,3,65,7,Bhili
2460,2,83,0,7,6,60,6,Odia
2461,2,58,1,4,7,32,3,Dogri
2462,3,57,1,7,8,38,4,Chhattisgarhi
2463,8,95,0,9,9,91,9,Bhili
2464,8,40,0,8,7,34,3,Punjabi
2465,7,64,0,4,3,46,4,Chhattisgarhi
2466,6,66,1,8,1,55,5,Malayalam
2467,9,46,0,9,9,43,4,Kannada
2468,4,83,1,5,4,67,7,Chhattisgarhi
2469,1,81,1,6,6,56,6,Meitei
2470,8,68,1,5,1,58,6,Chhattisgarhi
2471,7,70,1,4,3,60,6,Nepali
2472,7,83,1,9,5,77,8,Garo
2473,3,82,1,9,7,69,7,Punjabi
2474,4,75,1,6,9,60,6,Meitei
2475,9,58,0,7,5,52,5,Telugu
2476,6,45,0,4,5,36,3,Mizo
2477,5,64,0,6,5,49,5,Malayalam
2478,3,70,1,8,3,50,5,English
2479,9,48,1,6,2,48,5,Chhattisgarhi
2480,5,59,0,8,0,43,4,Telugu
2481,5,49,1,8,1,34,3,Dogri
2482,4,76,1,9,1,57,6,Konkani
2483,4,66,1,6,9,50,5,Bhili
2484,1,52,1,9,6,28,2,Dogri
2485,7,80,1,9,5,72,7,Khasi
2486,9,41,1,5,7,38,4,Meitei
2487,3,89,1,5,8,68,7,Hindi
2488,2,60,1,9,4,41,4,Bodo
2489,3,72,1,9,2,53,5,Maithili
2490,1,63,1,8,3,36,3,Khasi
2491,6,92,1,9,7,80,8,Assamese
2492,7,83,1,4,2,73,7,Bodo
2493,8,73,1,4,6,67,7,Sanskrit
2494,6,99,1,5,3,91,9,Meitei
2495,4,48,0,4,7,34,3,Urdu
2496,5,41,0,7,0,23,2,Kashmiri
2497,8,94,0,7,7,86,9,English
2498,3,95,1,5,4,73,7,Meitei
2499,3,69,1,4,1,49,5,Khasi
2500,4,61,0,6,0,43,4,Konkani
2501,1,85,0,5,5,61,6,Kannada
2502,9,50,0,7,8,45,4,Konkani
2503,8,94,1,5,8,85,9,Khasi
2504,8,82,1,4,8,75,8,Kannada
2505,6,56,0,4,3,44,4,Tulu
2506,7,75,1,4,5,66,7,Tamil
2507,6,52,1,8,9,45,4,Meitei
2508,9,46,0,4,5,40,4,Nepali
2509,3,55,0,9,4,38,4,Gujarati
2510,3,72,0,7,1,50,5,Tamil
2511,3,84,1,7,6,67,7,Bodo
2512,3,40,1,8,0,21,2,Konkani
2513,9,50,1,7,5,51,5,Urdu
2514,4,45,1,7,4,25,2,Malayalam
2515,7,59,1,5,4,53,5,Tamil
2516,9,74,0,4,7,71,7,Tulu
2517,7,83,1,9,8,77,8,Dogri
2518,9,76,1,9,6,75,8,English
2519,3,80,0,5,9,60,6,Kannada
2520,4,65,0,9,7,49,5,Dogri
2521,8,97,0,5,1,87,9,Sindhi
2522,6,51,0,9,1,40,4,Dogri
2523,5,69,1,7,7,56,6,Nepali
2524,4,67,1,6,5,49,5,Punjabi
2525,8,66,0,4,7,59,6,Bengali
2526,1,81,1,6,8,59,6,Punjabi
2527,9,58,0,7,8,54,5,Odia
2528,1,44,1,8,5,17,1,Malayalam
2529,8,97,1,5,7,90,9,Mizo
2530,4,44,1,9,1,23,2,Kashmiri
2531,9,80,0,9,7,82,8,Meitei
2532,5,66,0,7,2,49,5,Urdu
2533,3,67,1,9,0,50,5,Dogri
2534,9,65,1,7,6,60,6,Telugu
2535,9,66,0,6,0,60,6,English
2536,4,91,0,8,0,74,8,Meitei
2537,4,88,1,5,0,71,7,Khasi
2538,8,81,1,9,3,77,8,Punjabi
2539,2,60,0,8,3,34,3,Gujarati
2540,9,40,1,8,9,39,4,Manipuri
2541,6,93,0,8,5,85,9,Sindhi
2542,9,67,0,4,9,64,6,Bhili
2543,8,87,1,8,2,87,9,Gujarati
2544,7,97,1,7,9,91,9,Tamil
2545,1,97,1,4,5,73,7,Sanskrit
2546,3,54,0,4,6,34,3,Odia
2547,2,94,0,8,0,70,7,Dogri
2548,5,56,0,9,5,42,4,Gujarati
2549,5,65,1,9,9,55,5,Gujarati
2550,5,59,1,9,0,45,4,Tulu
2551,4,64,0,9,6,49,5,English
2552,5,52,0,7,9,37,3,Tamil
2553,3,72,1,9,4,55,5,Khasi
2554,1,64,0,5,9,38,4,Tamil
2555,5,47,1,8,3,35,3,Marathi
2556,9,44,1,4,0,41,4,Bodo
2557,9,45,0,5,8,43,4,Sanskrit
2558,4,62,0,9,6,46,4,Gujarati
2559,3,91,0,5,1,69,7,Kannada
2560,1,69,0,4,3,37,3,Malayalam
2561,2,53,0,9,3,31,3,Assamese
2562,8,93,1,5,7,90,9,Tulu
2563,1,62,0,7,1,33,3,Marathi
2564,8,50,1,7,4,44,4,Kannada
2565,7,70,0,8,9,62,6,Kashmiri
2566,8,45,0,8,7,41,4,Bodo
2567,9,52,0,4,3,45,4,Manipuri
2568,3,51,0,7,4,34,3,Manipuri
2569,4,93,0,6,1,72,7,Marathi
2570,6,41,1,8,4,29,3,Hindi
2571,8,92,0,7,2,83,9,Tulu
2572,5,74,0,9,2,61,6,Punjabi
2573,3,94,0,5,6,75,8,Bodo
2574,6,75,0,7,2,63,6,Dogri
2575,4,56,1,7,3,36,3,Kashmiri
2576,9,67,1,5,6,62,6,Dogri
2577,3,67,1,8,2,49,5,Malayalam
2578,4,61,1,8,9,46,4,Tamil
2579,7,77,1,6,9,69,7,Bodo
2580,7,46,1,6,1,35,3,Tamil
2581,4,54,0,8,9,38,4,Santali
2582,6,71,0,8,6,62,6,Malayalam
2583,3,50,1,8,4,30,3,Garo
2584,6,63,0,8,0,52,5,Santhali
2585,2,42,0,7,9,16,1,Telugu
2586,8,69,0,6,7,66,7,Kashmiri
2587,2,45,0,5,2,20,2,Santali
2588,7,97,0,4,6,86,9,Konkani
2589,9,41,1,5,5,38,4,Garo
2590,1,53,1,9,9,30,3,Tamil
2591,8,80,1,4,5,71,7,Urdu
2592,7,57,1,7,7,49,5,Sanskrit
2593,6,90,1,9,3,79,8,Tamil
2594,6,83,1,6,3,69,7,Urdu
2595,6,70,0,4,2,56,6,Marathi
2596,9,52,1,8,0,47,5,Marathi
2597,2,65,0,9,9,41,4,Gujarati
2598,1,83,0,7,2,58,6,Santhali
2599,6,51,1,4,0,38,4,Urdu
2600,8,57,1,8,5,52,5,Kannada
2601,3,48,1,9,7,25,2,Maithili
2602,1,88,0,7,2,62,6,Telugu
2603,9,60,1,9,3,60,6,Telugu
2604,1,87,1,4,4,63,6,Kashmiri
2605,3,88,1,8,6,72,7,Chhattisgarhi
2606,8,92,0,6,5,84,9,Bengali
2607,3,95,1,7,1,74,8,Santhali
2608,4,79,1,4,6,61,6,Garo
2609,8,82,0,8,7,77,8,Punjabi
2610,1,63,0,6,0,36,3,Hindi
2611,6,73,0,9,5,65,7,Gujarati
2612,1,47,1,8,8,23,2,Mizo
2613,1,83,1,6,6,60,6,Tamil
2614,8,92,0,4,4,83,9,Tulu
2615,4,72,1,8,9,56,6,Tulu
2616,1,62,0,8,9,37,3,Meitei
2617,7,52,0,5,8,43,4,Gujarati
2618,5,93,0,7,1,76,8,Dogri
2619,5,92,0,8,6,83,9,Sanskrit
2620,1,88,0,6,8,63,6,Malayalam
2621,6,53,1,7,1,39,4,English
2622,9,53,1,4,9,48,5,Punjabi
2623,9,55,1,7,5,53,5,Mizo
2624,8,88,1,5,8,84,9,Assamese
2625,5,77,0,4,2,63,6,Kashmiri
2626,1,97,1,8,7,73,7,Marathi
2627,9,99,0,9,4,99,10,Telugu
2628,1,78,0,4,6,52,5,Maithili
2629,8,65,1,4,2,58,6,Bodo
2630,5,65,1,5,7,50,5,Bodo
2631,3,40,0,6,1,18,1,Punjabi
2632,7,71,1,4,7,62,6,Santali
2633,7,96,1,6,1,87,9,Tamil
2634,9,54,1,7,6,53,5,Bodo
2635,7,91,1,9,1,87,9,Marathi
2636,3,60,0,5,6,37,3,Bengali
2637,1,57,0,8,0,31,3,Hindi
2638,8,69,1,4,5,63,6,Bodo
2639,3,99,0,9,9,81,8,Nepali
2640,8,97,0,9,6,95,10,Gujarati
2641,8,52,1,6,3,45,4,Konkani
2642,5,63,1,4,0,48,5,Bodo
2643,1,69,0,9,5,47,5,Hindi
2644,7,41,0,5,3,31,3,Mizo
2645,5,58,0,8,2,43,4,Santhali
2646,8,86,1,7,3,82,8,Marathi
2647,9,83,0,7,5,80,8,Punjabi
2648,7,86,0,6,4,76,8,Hindi
2649,7,64,1,9,1,57,6,Nepali
2650,1,89,0,7,1,64,6,Punjabi
2651,4,53,1,6,2,35,3,Bengali
2652,2,45,1,8,5,24,2,Odia
2653,2,51,0,4,0,30,3,Kannada
2654,2,59,1,5,6,38,4,Odia
2655,4,62,1,8,7,45,4,Garo
2656,1,69,0,8,6,44,4,Maithili
2657,4,69,1,7,2,53,5,Santali
2658,2,77,0,7,5,53,5,Chhattisgarhi
2659,5,97,1,5,3,84,9,Manipuri
2660,3,69,1,4,4,47,5,Maithili
2661,8,80,0,8,2,76,8,Meitei
2662,4,69,0,9,4,57,6,Marathi
2663,1,96,0,7,5,71,7,English
2664,1,97,1,8,7,74,8,Malayalam
2665,3,75,0,4,5,54,5,Bhili
2666,9,88,1,6,8,84,9,Santhali
2667,7,73,0,4,9,62,6,Konkani
2668,2,55,1,8,9,35,3,Chhattisgarhi
2669,9,63,0,8,9,62,6,Konkani
2670,2,53,1,5,9,30,3,Maithili
2671,3,65,0,8,3,47,5,Hindi
2672,2,47,1,7,1,25,2,Sanskrit
2673,3,53,1,9,8,40,4,Tulu
2674,6,70,1,5,2,56,6,Telugu
2675,9,41,1,8,6,38,4,Sindhi
2676,9,87,0,4,3,86,9,Meitei
2677,7,43,1,8,0,38,4,Punjabi
2678,3,40,0,4,7,17,1,Sindhi
2679,4,94,1,4,3,75,8,Sanskrit
2680,6,59,0,8,5,48,5,Marathi
2681,5,98,1,4,6,87,9,Gujarati
2682,2,53,1,9,7,32,3,Urdu
2683,6,79,0,6,9,68,7,Kannada
2684,3,64,0,5,1,42,4,Santali
2685,8,99,1,8,8,96,10,Telugu
2686,2,64,0,6,9,42,4,Sanskrit
2687,1,42,0,4,2,18,1,Chhattisgarhi
2688,9,44,0,4,0,41,4,Assamese
2689,3,77,1,5,1,54,5,Santhali
2690,1,93,0,6,7,67,7,Santali
2691,7,65,1,6,9,57,6,English
2692,5,79,0,8,5,65,7,Bhili
2693,5,77,0,4,0,62,6,Bhili
2694,1,77,1,7,8,56,6,Odia
2695,9,43,0,8,6,39,4,Khasi
2696,7,46,0,8,9,38,4,Meitei
2697,8,69,0,8,2,65,7,Hindi
2698,9,69,0,5,6,68,7,Sindhi
2699,6,95,0,5,5,82,8,Malayalam
2700,5,58,0,8,2,44,4,Telugu
2701,6,78,0,9,7,67,7,Gujarati
2702,2,74,1,7,0,53,5,Khasi
2703,4,79,1,6,4,61,6,Maithili
2704,3,72,1,6,7,53,5,Marathi
2705,7,72,1,4,2,61,6,Marathi
2706,9,53,1,6,9,49,5,Mizo
2707,5,77,0,6,5,61,6,Sindhi
2708,6,49,1,7,9,38,4,Kashmiri
2709,2,96,1,6,1,76,8,Nepali
2710,3,67,0,7,8,47,5,Urdu
2711,3,53,1,5,1,32,3,Kannada
2712,9,75,0,7,4,71,7,Chhattisgarhi
2713,7,77,0,5,2,69,7,Gujarati
2714,8,55,1,7,9,53,5,Nepali
2715,9,99,1,8,8,100,10,Malayalam
2716,6,60,0,9,8,49,5,Khasi
2717,4,67,0,5,6,48,5,Bodo
2718,1,72,1,5,9,45,4,English
2719,8,45,0,6,4,40,4,Hindi
2720,7,80,1,5,8,71,7,Konkani
2721,2,54,1,7,6,34,3,Sanskrit
2722,8,83,1,8,1,76,8,Chhattisgarhi
2723,5,42,1,8,9,29,3,Santhali
2724,7,82,0,6,0,71,7,Santali
2725,4,86,0,7,9,69,7,Nepali
2726,5,74,1,7,9,58,6,Nepali
2727,8,53,1,4,3,43,4,Kashmiri
2728,1,41,0,5,9,17,1,Kannada
2729,1,68,0,6,7,41,4,Bodo
2730,4,43,0,8,5,27,2,Odia
2731,3,65,0,9,1,45,4,Odia
2732,2,90,0,4,4,65,7,Gujarati
2733,3,51,1,7,8,31,3,Santhali
2734,1,41,1,5,5,14,1,Dogri
2735,1,56,1,8,5,33,3,Bodo
2736,6,74,1,4,6,60,6,Bhili
2737,5,49,0,7,4,34,3,Santhali
2738,8,87,0,8,2,82,8,Sanskrit
2739,2,61,1,8,2,40,4,Sanskrit
2740,4,80,1,7,4,66,7,Nepali
2741,8,82,0,7,3,76,8,Nepali
2742,6,60,1,6,4,46,4,Gujarati
2743,1,54,1,8,8,31,3,Gujarati
2744,4,74,0,7,4,57,6,Chhattisgarhi
2745,1,87,0,9,3,65,7,Nepali
2746,2,60,0,9,3,38,4,Bodo
2747,5,60,1,4,0,46,4,Gujarati
2748,8,60,0,5,9,53,5,Chhattisgarhi
2749,8,99,0,9,3,97,10,Mizo
2750,3,83,1,6,3,63,6,Maithili
2751,4,71,0,7,8,55,5,Santali
2752,6,94,1,5,3,79,8,Maithili
2753,3,44,1,6,6,26,2,Urdu
2754,2,78,1,8,0,55,5,Tamil
2755,6,48,1,5,6,37,3,Sindhi
2756,5,92,0,9,1,78,8,Meitei
2757,5,57,1,6,7,45,4,Garo
2758,5,60,0,7,0,45,4,Nepali
2759,5,47,0,7,9,34,3,Odia
2760,3,83,0,6,2,66,7,Bodo
2761,7,91,0,8,7,79,8,Sanskrit
2762,6,73,0,9,9,63,6,Urdu
2763,4,49,1,6,7,32,3,Telugu
2764,2,90,0,4,4,64,6,Kannada
2765,9,80,1,6,4,78,8,Chhattisgarhi
2766,1,96,1,6,7,69,7,Tulu
2767,4,63,1,9,9,46,4,Khasi
2768,1,79,0,7,4,54,5,Dogri
2769,6,63,0,8,8,51,5,Manipuri
2770,4,95,0,6,0,78,8,Bengali
2771,5,71,0,5,4,54,5,Tulu
2772,5,95,1,7,2,80,8,Bodo
2773,9,72,0,7,2,67,7,Bengali
2774,1,77,0,6,1,48,5,Bodo
2775,2,83,1,9,2,61,6,Meitei
2776,6,96,1,5,6,83,9,Hindi
2777,5,95,1,6,7,82,8,Telugu
2778,7,90,1,5,7,78,8,Santhali
2779,3,98,1,7,7,78,8,Sanskrit
2780,3,88,1,5,0,70,7,Meitei
2781,2,73,1,6,6,48,5,Garo
2782,3,50,0,4,1,26,2,Konkani
2783,1,70,0,4,9,46,4,Nepali
2784,5,57,1,5,3,42,4,Sanskrit
2785,5,62,1,9,4,46,4,Urdu
2786,7,99,0,6,0,91,9,Hindi
2787,4,61,1,8,3,47,5,Odia
2788,3,82,1,4,3,61,6,Kannada
2789,1,57,1,7,8,31,3,Kashmiri
2790,8,79,1,6,8,71,7,English
2791,3,86,1,6,9,66,7,Telugu
2792,2,80,0,4,0,52,5,Hindi
2793,4,86,1,8,7,71,7,Kashmiri
2794,3,78,1,7,3,60,6,Gujarati
2795,1,59,1,8,3,32,3,Bodo
2796,3,52,0,7,4,33,3,Konkani
2797,2,84,0,4,1,56,6,Sindhi
2798,8,40,1,6,0,32,3,Khasi
2799,6,91,1,7,4,76,8,Chhattisgarhi
2800,9,43,1,6,6,40,4,Bodo
2801,8,63,1,5,9,60,6,Nepali
2802,3,75,0,5,8,54,5,Khasi
2803,5,75,0,4,1,59,6,Kannada
2804,7,84,1,4,7,74,8,Punjabi
2805,8,67,0,4,1,61,6,Manipuri
2806,5,65,0,5,4,50,5,Bodo
2807,1,62,1,7,6,36,3,Garo
2808,5,54,1,8,2,41,4,Dogri
2809,4,75,1,4,1,60,6,Kannada
2810,6,66,0,8,5,56,6,Punjabi
2811,3,45,0,8,9,23,2,Mizo
2812,5,74,0,5,5,63,6,Chhattisgarhi
2813,2,78,0,9,3,54,5,Manipuri
2814,6,77,1,7,0,64,6,Bhili
2815,6,74,0,5,4,64,6,Hindi
2816,5,75,0,4,0,58,6,Khasi
2817,6,49,0,5,7,38,4,Bhili
2818,7,69,1,5,1,60,6,Sindhi
2819,5,92,0,5,8,79,8,Chhattisgarhi
2820,1,80,0,4,8,57,6,Odia
2821,8,77,0,4,2,69,7,Chhattisgarhi
2822,4,68,1,5,5,51,5,Kashmiri
2823,9,91,0,5,8,86,9,Kashmiri
2824,6,98,1,8,6,90,9,Manipuri
2825,1,82,1,7,3,57,6,Santhali
2826,3,78,0,8,2,61,6,Bhili
2827,3,89,1,9,1,71,7,Sindhi
2828,4,43,0,7,9,30,3,Gujarati
2829,6,44,1,9,9,34,3,Dogri
2830,7,43,1,7,0,34,3,Bodo
2831,4,75,0,5,9,58,6,Meitei
2832,6,98,0,8,0,85,9,Maithili
2833,1,84,1,7,3,55,5,Sanskrit
2834,8,55,1,9,3,51,5,Tamil
2835,7,64,1,7,8,53,5,Chhattisgarhi
2836,9,53,1,4,9,51,5,Bodo
2837,3,50,0,7,0,31,3,Punjabi
2838,2,68,1,5,3,44,4,Khasi
2839,1,73,1,6,2,48,5,Santhali
2840,3,61,0,4,8,41,4,Tulu
2841,5,53,1,6,4,40,4,Santhali
2842,2,95,0,5,8,72,7,Nepali
2843,3,63,0,6,9,41,4,Assamese
2844,4,98,0,7,5,78,8,Kashmiri
2845,7,78,1,6,8,70,7,Marathi
2846,3,65,0,8,0,41,4,Nepali
2847,9,82,0,5,3,78,8,Bodo
2848,8,75,0,8,3,70,7,Bodo
2849,4,78,1,6,9,61,6,Dogri
2850,1,55,1,8,9,33,3,Sindhi
2851,1,97,1,4,5,71,7,Telugu
2852,1,77,1,6,9,51,5,Santhali
2853,1,98,0,9,0,72,7,Odia
2854,8,71,0,8,9,69,7,Marathi
2855,3,45,0,7,4,21,2,Bhili
2856,6,73,1,6,2,61,6,Konkani
2857,3,95,0,9,0,76,8,Bodo
2858,5,47,1,4,5,30,3,Bodo
2859,7,69,1,7,2,59,6,Telugu
2860,2,66,1,6,3,45,4,Punjabi
2861,6,46,0,7,8,39,4,Bengali
2862,6,66,0,6,1,53,5,Nepali
2863,3,64,1,6,0,43,4,Sindhi
2864,6,95,0,5,9,85,9,Sindhi
2865,5,85,1,8,5,70,7,Bengali
2866,2,80,0,6,0,56,6,Telugu
2867,9,54,1,4,0,52,5,Tamil
2868,8,64,1,9,6,65,7,Punjabi
2869,3,61,1,8,1,39,4,Bhili
2870,8,57,0,5,3,48,5,Meitei
2871,9,51,0,8,3,47,5,Kashmiri
2872,3,62,0,8,1,41,4,Malayalam
2873,3,90,0,6,5,72,7,Nepali
2874,2,84,0,4,9,61,6,Kashmiri
2875,8,78,1,6,1,74,8,Dogri
2876,1,64,0,4,7,38,4,Gujarati
2877,8,49,1,4,3,42,4,Kashmiri
2878,7,69,0,7,0,60,6,Bhili
2879,7,49,0,6,6,35,3,Garo
2880,3,73,0,5,5,52,5,Bodo
2881,1,85,1,9,5,61,6,Garo
2882,4,52,0,8,2,32,3,Hindi
2883,9,93,1,7,9,95,10,Sindhi
2884,5,68,0,5,6,53,5,Assamese
2885,1,77,1,9,5,54,5,Odia
2886,5,80,1,9,9,70,7,Assamese
2887,8,84,1,6,9,78,8,Nepali
2888,8,48,1,4,8,42,4,Tamil
2889,5,52,0,6,2,33,3,Bodo
2890,9,76,0,9,2,75,8,Santhali
2891,1,53,1,6,3,26,2,Maithili
2892,4,76,0,7,2,58,6,Garo
2893,3,48,1,5,3,29,3,Marathi
2894,2,47,0,9,5,29,3,Meitei
2895,8,78,0,7,0,70,7,English
2896,7,79,0,5,1,67,7,Sindhi
2897,9,93,1,7,9,93,10,Bodo
2898,2,42,0,8,5,21,2,Assamese
2899,4,94,1,4,5,74,8,Konkani
2900,6,95,0,4,0,82,8,Punjabi
2901,3,86,1,4,5,65,7,Sindhi
2902,8,79,0,8,8,75,8,Kannada
2903,3,72,1,9,7,55,5,Tamil
2904,2,71,1,9,9,54,5,Dogri
2905,3,46,1,8,4,26,2,Santali
2906,6,58,0,4,3,48,5,Dogri
2907,2,73,1,4,5,49,5,Sanskrit
2908,8,53,0,5,4,49,5,Kannada
2909,1,89,1,5,5,64,6,Kashmiri
2910,7,86,1,6,9,81,8,Malayalam
2911,2,85,1,7,2,64,6,Tamil
2912,6,95,0,5,6,82,8,Tamil
2913,2,96,0,5,7,74,8,Tulu
2914,2,58,0,5,4,32,3,Konkani
2915,8,90,0,5,4,83,9,Dogri
2916,2,93,0,8,3,68,7,Bhili
2917,7,98,0,6,9,90,9,Dogri
2918,3,65,0,5,4,44,4,Odia
2919,8,56,1,9,9,51,5,Hindi
2920,7,93,1,7,7,86,9,Marathi
2921,8,67,0,5,4,62,6,Meitei
2922,7,58,0,8,8,48,5,Dogri
2923,6,66,0,9,0,56,6,Assamese
2924,7,87,0,4,6,79,8,Tamil
2925,5,91,0,4,4,74,8,Odia
2926,7,96,1,6,3,82,8,Kannada
2927,1,58,0,4,2,32,3,Khasi
2928,1,72,0,5,9,46,4,Chhattisgarhi
2929,9,90,0,8,6,88,9,Gujarati
2930,5,46,1,6,1,35,3,Bodo
2931,5,68,1,9,4,56,6,Garo
2932,3,94,1,5,1,74,8,Punjabi
2933,5,82,1,4,6,67,7,Mizo
2934,3,44,0,7,5,23,2,Gujarati
2935,9,69,1,5,9,67,7,Meitei
2936,9,88,1,7,6,86,9,Mizo
2937,6,82,1,9,8,70,7,Nepali
2938,1,95,1,7,1,68,7,Punjabi
2939,7,97,1,9,8,91,9,Urdu
2940,7,47,0,6,6,42,4,Punjabi
2941,4,81,1,8,1,62,6,Marathi
2942,8,51,1,4,9,44,4,Santhali
2943,6,81,1,4,1,67,7,Punjabi
2944,4,52,0,5,3,35,3,English
2945,4,65,0,4,1,46,4,Gujarati
2946,2,57,0,6,0,31,3,Konkani
2947,2,81,0,4,5,59,6,Tulu
2948,4,90,0,5,9,71,7,Sanskrit
2949,8,88,0,8,2,80,8,Bodo
2950,6,59,0,9,0,49,5,Manipuri
2951,4,55,1,7,8,39,4,Sindhi
2952,7,76,1,7,7,67,7,Kannada
2953,8,42,0,9,5,38,4,English
2954,2,66,1,7,5,47,5,Dogri
2955,7,54,0,8,3,41,4,Tulu
2956,2,97,1,6,1,75,8,Hindi
2957,2,73,1,5,3,53,5,Khasi
2958,8,84,0,8,1,81,8,Malayalam
2959,2,61,1,5,6,37,3,Meitei
2960,9,79,0,6,8,77,8,Bodo
2961,1,62,0,8,1,36,3,Bodo
2962,9,98,1,4,8,95,10,Santali
2963,1,88,0,6,8,65,7,Bengali
2964,2,43,1,7,7,18,1,Garo
2965,6,90,1,8,0,80,8,Bhili
2966,6,93,0,6,4,81,8,Sindhi
2967,1,96,0,6,9,73,7,Odia
2968,7,80,0,8,3,74,8,Tulu
2969,8,62,0,7,6,57,6,Marathi
2970,2,86,0,9,7,64,6,Mizo
2971,8,99,1,7,9,97,10,Bhili
2972,9,48,0,6,7,42,4,Bodo
2973,6,63,1,5,1,48,5,Tulu
2974,5,60,0,9,2,46,4,Bodo
2975,9,80,1,9,9,79,8,Punjabi
2976,9,85,1,6,9,83,9,Malayalam
2977,1,94,1,8,6,70,7,Meitei
2978,3,92,1,8,3,73,7,Marathi
2979,9,55,1,8,5,56,6,Gujarati
2980,2,95,0,7,7,71,7,Santhali
2981,4,94,1,4,7,76,8,Bodo
2982,4,64,0,8,6,49,5,Malayalam
2983,2,65,1,8,1,43,4,Gujarati
2984,3,88,0,9,1,67,7,Odia
2985,3,84,1,5,2,63,6,Assamese
2986,1,48,1,5,3,18,1,Malayalam
2987,6,54,0,6,0,43,4,Nepali
2988,8,78,0,6,4,72,7,Kannada
2989,3,72,1,6,6,57,6,Khasi
2990,5,40,1,8,9,25,2,Bodo
2991,1,44,0,5,4,15,1,Manipuri
2992,7,95,1,6,6,88,9,Sanskrit
2993,1,48,1,5,4,24,2,Hindi
2994,9,83,0,8,9,81,8,Hindi
2995,8,45,1,9,7,40,4,Khasi
2996,7,67,1,8,6,60,6,Garo
2997,7,84,0,6,0,73,7,Kashmiri
2998,5,65,1,8,0,52,5,Manipuri
2999,5,67,0,8,4,53,5,English
3000,5,79,0,5,1,65,7,Khasi
3001,1,54,1,4,8,30,3,Punjabi
3002,8,45,1,7,1,39,4,Kannada
3003,1,66,0,6,8,43,4,Bodo
3004,4,77,0,4,9,59,6,Sanskrit
3005,9,43,1,9,1,38,4,Urdu
3006,9,50,0,6,3,44,4,Santali
3007,5,60,1,4,2,44,4,Gujarati
3008,4,69,0,8,5,53,5,Tamil
3009,3,57,0,6,3,37,3,Bengali
3010,3,74,0,4,8,52,5,Santali
3011,5,42,1,7,8,30,3,Chhattisgarhi
3012,1,51,0,8,9,22,2,Odia
3013,5,66,0,6,8,51,5,Nepali
3014,6,92,0,9,2,82,8,Tamil
3015,7,69,0,9,2,63,6,Gujarati
3016,9,60,1,6,3,58,6,Meitei
3017,3,77,0,4,8,58,6,Konkani
3018,2,60,1,6,5,38,4,Kannada
3019,3,99,0,8,8,80,8,Chhattisgarhi
3020,9,77,0,5,7,70,7,Kannada
3021,7,79,1,9,6,72,7,Hindi
3022,9,54,1,4,4,48,5,Marathi
3023,2,57,0,7,8,36,3,Kashmiri
3024,5,91,0,6,3,73,7,Sanskrit
3025,4,68,0,8,3,51,5,Chhattisgarhi
3026,2,87,1,6,7,63,6,Bodo
3027,9,77,0,7,3,74,8,Santali
3028,9,99,1,8,6,98,10,Santali
3029,6,60,0,7,3,45,4,Hindi
3030,6,56,1,8,0,45,4,Odia
3031,8,80,1,5,9,74,8,Bodo
3032,6,90,1,9,8,81,8,Meitei
3033,1,57,0,8,3,30,3,Tamil
3034,4,96,0,7,2,77,8,English
3035,7,94,1,4,2,86,9,English
3036,2,76,1,9,8,58,6,Santhali
3037,9,99,1,5,7,99,10,Urdu
3038,8,77,0,6,9,69,7,Maithili
3039,8,51,0,5,6,47,5,Kashmiri
3040,7,50,0,5,6,42,4,Nepali
3041,4,87,1,6,3,73,7,Konkani
3042,2,91,0,8,2,71,7,Punjabi
3043,3,88,0,5,3,68,7,Bodo
3044,6,59,0,9,5,47,5,Urdu
3045,5,48,1,5,3,31,3,Bengali
3046,8,40,0,4,3,31,3,Hindi
3047,6,97,0,9,1,86,9,Garo
3048,6,42,0,4,6,27,2,Telugu
3049,1,60,0,9,5,32,3,Chhattisgarhi
3050,4,62,0,7,1,41,4,Santali
3051,5,48,1,6,4,33,3,Khasi
3052,3,93,1,9,5,75,8,Manipuri
3053,9,58,1,9,4,57,6,Assamese
3054,1,84,1,8,3,59,6,Tulu
3055,6,94,0,8,8,87,9,Sindhi
3056,6,85,0,7,2,72,7,Sanskrit
3057,5,91,1,8,1,78,8,Bodo
3058,5,58,1,8,8,46,4,Maithili
3059,5,62,1,4,7,47,5,Nepali
3060,6,66,0,8,8,58,6,Nepali
3061,8,66,0,8,9,63,6,Chhattisgarhi
3062,2,78,0,7,2,56,6,Mizo
3063,6,75,1,7,0,62,6,Gujarati
3064,1,51,1,5,0,23,2,Bodo
3065,4,94,1,8,2,73,7,Bengali
3066,3,66,0,8,3,46,4,Tulu
3067,9,85,0,9,1,80,8,Bhili
3068,3,73,1,8,7,59,6,Bodo
3069,6,72,1,4,2,60,6,Odia
3070,1,67,0,9,3,41,4,Khasi
3071,6,70,0,8,5,61,6,Bodo
3072,4,71,1,4,9,51,5,English
3073,8,89,1,5,5,82,8,Mizo
3074,9,59,0,9,1,55,5,Maithili
3075,4,79,1,6,5,64,6,Punjabi
3076,6,74,1,8,3,61,6,Malayalam
3077,1,70,0,9,4,44,4,Meitei
